Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Bunbun 4,Bunbun 4,sio-kedelic,27,Advanced,Kaizo,2026-08-30,43091,https://www.smwcentral.net/?a=details&id=43091&p=section,https://dl.smwcentral.net/43091/Bunbun4%20v1.0.zip,5
UPSERT,SMW Piranha Island,SMW Piranha Island,PokerFace,20,Advanced,Standard,2015-07-11,11697,https://www.smwcentral.net/?a=details&id=11697&p=section,https://dl.smwcentral.net/11697/SMW%20Piranha%20island%201.1.zip,4.33
UPSERT,Mario's Amazing Adventure Revitalized,Mario's Amazing Adventure Revitalized,Fluffles the bun,105,Casual,Standard,2016-06-24,13836,https://www.smwcentral.net/?a=details&id=13836&p=section,https://dl.smwcentral.net/13836/Mario%27s%20amazing%20adventure.zip,4.46
UPSERT,JUMP,JUMP,"JUMP Team, worldpeace",125,Expert,Standard,2016-11-11,14495,https://www.smwcentral.net/?a=details&id=14495&p=section,https://dl.smwcentral.net/14495/JUMP%20ver1.04.zip,4.47
UPSERT,Panic in the Mushroom Kingdom,Panic in the Mushroom Kingdom,ghettoyouth,58,Casual,Standard,2020-02-21,22045,https://www.smwcentral.net/?a=details&id=22045&p=section,https://dl.smwcentral.net/22045/PITMK-bothversions.zip,4.2
UPSERT,Super Mario World Ridley X Hack 2 Super 8-Bit,Super Mario World Ridley X Hack 2 Super 8-Bit,Ridley X,53,Intermediate,Standard,2026-08-01,42737,https://www.smwcentral.net/?a=details&id=42737&p=section,https://dl.smwcentral.net/42737/smw%20ridleyx%20hack2%20v1.0.zip,4.67
UPSERT,Journey to Kaizo,Journey to Kaizo,"Ahrion, CroNo486, Devazure, Spedinja, Team J2K",38,Intermediate,Kaizo,2026-08-23,42947,https://www.smwcentral.net/?a=details&id=42947&p=section,https://dl.smwcentral.net/42947/Journey%20to%20Kaizo%20v1.0.1.zip,4.9
