Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Super Mario Land 3: Tatanga's Return,Super Mario Land 3: Tatanga's Return,Gamma V,70,Casual,Standard,2016-05-12,13608,https://www.smwcentral.net/?a=details&id=13608&p=section,https://dl.smwcentral.net/13608/TatangasReturn2.1.zip,4.22
UPSERT,JUMP,JUMP,"JUMP Team, worldpeace",125,Expert,Standard,2016-11-11,14495,https://www.smwcentral.net/?a=details&id=14495&p=section,https://dl.smwcentral.net/14495/JUMP%20ver1.04.zip,4.48
UPSERT,Mario & Luigi: Kola Kingdom Quest,Mario & Luigi: Kola Kingdom Quest,Gamma V,86,Casual,Standard,2017-07-24,15940,https://www.smwcentral.net/?a=details&id=15940&p=section,https://dl.smwcentral.net/15940/KKQFixedIntros.zip,4.77
UPSERT,Some Assembly Required,Some Assembly Required,Shuttles,5,Advanced,Kaizo,2020-01-27,22030,https://www.smwcentral.net/?a=details&id=22030&p=section,https://dl.smwcentral.net/22030/SAR_v1.1.zip,4
UPSERT,Stardust,Stardust,41681,4,Advanced,Kaizo,2021-05-10,26923,https://www.smwcentral.net/?a=details&id=26923&p=section,https://dl.smwcentral.net/26923/Stardust1.1.zip,4.54
UPSERT,Super Dank World,Super Dank World,Firstnamebutt,19,Advanced,Kaizo,2023-09-13,34970,https://www.smwcentral.net/?a=details&id=34970&p=section,https://dl.smwcentral.net/34970/Super_Dank_World.zip,4.43
UPSERT,Playground Kaizo,Playground Kaizo,RicardoDeMelo,6,Casual,Kaizo,2026-02-13,41584,https://www.smwcentral.net/?a=details&id=41584&p=section,https://dl.smwcentral.net/41584/Playground%20Kaizo.zip,4.83
UPSERT,Tribute,Tribute,JakAttack,16,Intermediate,Kaizo,2026-07-18,42703,https://www.smwcentral.net/?a=details&id=42703&p=section,https://dl.smwcentral.net/42703/Tribute.zip,4.73
UPSERT,Journey to Kaizo,Journey to Kaizo,"Ahrion, CroNo486, Devazure, Spedinja, Team J2K",38,Intermediate,Kaizo,2026-08-23,42947,https://www.smwcentral.net/?a=details&id=42947&p=section,https://dl.smwcentral.net/42947/Journey%20to%20Kaizo%20v1.0.1.zip,4.79
