Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Brutal Mario,Brutal Mario,carol,98,Intermediate,Standard,2014-01-05,6099,https://www.smwcentral.net/?a=details&id=6099&p=section,https://dl.smwcentral.net/6099/Brutal%20Mario%20Demo%207.zip,4.54
UPSERT,Mega Rex Adventure [SMWC #9869],Mega Rex Adventure,Fluffles the bun,27,Casual,Standard,2015-08-21,9869,https://www.smwcentral.net/?a=details&id=9869&p=section,https://dl.smwcentral.net/9869/rex.zip,3.75
UPSERT,Mario's Amazing Adventure Revitalized,Mario's Amazing Adventure Revitalized,Fluffles the bun,105,Casual,Standard,2016-06-24,13836,https://www.smwcentral.net/?a=details&id=13836&p=section,https://dl.smwcentral.net/13836/Mario%27s%20amazing%20adventure.zip,4.44
UPSERT,Mega Rex Island,Mega Rex Island,Fluffles the bun,6,Newcomer,Standard,2016-08-05,14144,https://www.smwcentral.net/?a=details&id=14144&p=section,https://dl.smwcentral.net/14144/mega%20rex%20island.zip,4.18
UPSERT,Eternal Nightfall,Eternal Nightfall,Fluffles the bun,5,Casual,Standard,2016-10-15,14533,https://www.smwcentral.net/?a=details&id=14533&p=section,https://dl.smwcentral.net/14533/eternal%20nightfall.zip,3.9
UPSERT,Luigi and the Island of Mystery,Luigi and the Island of Mystery,Fluffles the bun,93,Casual,Standard,2016-12-23,14809,https://www.smwcentral.net/?a=details&id=14809&p=section,https://dl.smwcentral.net/14809/Luigi%20and%20the%20island%20of%20mystery.zip,4.64
UPSERT,Mario's Amazing Adventure: Extrem Edition,Mario's Amazing Adventure: Extrem Edition,Fluffles the bun,15,Advanced,Standard,2017-11-07,16579,https://www.smwcentral.net/?a=details&id=16579&p=section,https://dl.smwcentral.net/16579/MAAEE.zip,3.67
