Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,A Strange Mission,A Strange Mission,wye,8,Intermediate,Standard,2013-06-26,5031,https://www.smwcentral.net/?a=details&id=5031&p=section,https://dl.smwcentral.net/5031/AStrangeMission.zip,4.36
UPSERT,Super Mario Stole the Souls of the Innocent and Now Must Climb a Tower to Reclaim his Humanity World,Super Mario Stole the Souls of the Innocent and Now Must Climb a Tower to Reclaim his Humanity World,Jamie,1,Master,Kaizo,2024-07-15,38051,https://www.smwcentral.net/?a=details&id=38051&p=section,https://dl.smwcentral.net/38051/Mario%20Climbs%20A%20Tower.zip,4.33
UPSERT,The Hackrooms,The Hackrooms,Donut,0,Advanced,Standard,2025-08-29,40345,https://www.smwcentral.net/?a=details&id=40345&p=section,https://dl.smwcentral.net/40345/The_Hackrooms.zip,4.8
UPSERT,Super Mario World Ridley X Hack,Super Mario World Ridley X Hack,Ridley X,52,Casual,Standard,2026-03-22,41928,https://www.smwcentral.net/?a=details&id=41928&p=section,https://dl.smwcentral.net/41928/smw%20ridleyx%20hack%20v1.0.zip,4.5
