Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Where the universe breaks,Where the universe breaks,dotCoockie,6,Grandmaster,Kaizo,2026-09-12,42832,https://www.smwcentral.net/?a=details&id=42832&p=section,https://dl.smwcentral.net/42832/Edge.zip,0
UPSERT,Baby Kaizo World 3,Baby Kaizo World 3,Phyll,27,Master,Kaizo,2026-09-12,43132,https://www.smwcentral.net/?a=details&id=43132&p=section,https://dl.smwcentral.net/43132/Baby_Kaizo_World_3.zip,4.6
UPSERT,Monty Mole Island 2 - Redrawn Island,Monty Mole Island 2 - Redrawn Island,Green Jerry,12,Casual,Standard,2018-10-12,18254,https://www.smwcentral.net/?a=details&id=18254&p=section,https://dl.smwcentral.net/18254/Monty%20Mole%20Island%202%20-%20Redrawn%20Island.zip,4.2
UPSERT,Monty Mole Island,Monty Mole Island,Green Jerry,6,Casual,Standard,2018-11-28,18419,https://www.smwcentral.net/?a=details&id=18419&p=section,https://dl.smwcentral.net/18419/Monty%20Mole%20Island%20V1.2.zip,4.44
UPSERT,Mario in Leprechaun Island,Mario in Leprechaun Island,Green Jerry,9,Intermediate,Standard,2020-03-19,22412,https://www.smwcentral.net/?a=details&id=22412&p=section,https://dl.smwcentral.net/22412/Mario%20in%20Leprechaun%20Island%20%28V1.0.1%29.zip,3.8
UPSERT,Mario's New Year Mini Quest,Mario's New Year Mini Quest,Green Jerry,10,Intermediate,Standard,2021-02-07,26149,https://www.smwcentral.net/?a=details&id=26149&p=section,https://dl.smwcentral.net/26149/Mario%27s%20New%20Year%20Mini%20Quest%20%28V1.2%29.zip,4.67
UPSERT,Super Mario World: The 4 Magic Wands,Super Mario World: The 4 Magic Wands,Green Jerry,24,Casual,Standard,2025-02-17,39208,https://www.smwcentral.net/?a=details&id=39208&p=section,https://dl.smwcentral.net/39208/Super%20Mario%20World%20-%20The%204%20Magic%20Wands%20V1.0.2.zip,4.83
UPSERT,Super Mario World: Adventure in Forest Land,Super Mario World: Adventure in Forest Land,Green Jerry,34,Intermediate,Standard,2025-08-22,40321,https://www.smwcentral.net/?a=details&id=40321&p=section,https://dl.smwcentral.net/40321/Super%20Mario%20World%20-%20Adventure%20in%20Forest%20Land%20v1.0.zip,4.5
UPSERT,Journey to Kaizo,Journey to Kaizo,"Ahrion, CroNo486, Devazure, Spedinja, Team J2K",38,Intermediate,Kaizo,2026-08-23,42947,https://www.smwcentral.net/?a=details&id=42947&p=section,https://dl.smwcentral.net/42947/Journey%20to%20Kaizo%20v1.0.1.zip,4.78
UPSERT,Super Mario World: Legend of the Magical Dragons,Super Mario World: Legend of the Magical Dragons,Green Jerry,13,Casual,Standard,2026-09-11,43085,https://www.smwcentral.net/?a=details&id=43085&p=section,https://dl.smwcentral.net/43085/Super%20Mario%20World%20-%20Legend%20of%20the%20Magical%20Dragons%20Demo%20v0.2.zip,4
DELETE,Where the universe breaks,Where the universe breaks,dotCoockie,6,Grandmaster,Kaizo,2024-04-12,37046,https://www.smwcentral.net/?a=details&id=37046&p=section,https://dl.smwcentral.net/37046/Edge.zip,0
