Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Mario's Inferno,Mario's Inferno,Midlife_Crises,9,Advanced,Kaizo,2026-08-22,42909,https://www.smwcentral.net/?a=details&id=42909&p=section,https://dl.smwcentral.net/42909/Mario%27s%20Inferno.zip,4
UPSERT,Pokey's Adventure,Pokey's Adventure,wye,7,Newcomer,Standard,2013-07-09,5131,https://www.smwcentral.net/?a=details&id=5131&p=section,https://dl.smwcentral.net/5131/Pokeys_Adventure_Demo1_v11.zip,3.82
UPSERT,Super Mario Flash 2: SMW Remake,Super Mario Flash 2: SMW Remake,"Dark Prince, Donut, Segment1Zone2, Stivi, Sully1028",20,Casual,Standard,2021-07-07,27400,https://www.smwcentral.net/?a=details&id=27400&p=section,https://dl.smwcentral.net/27400/Super%20Mario%20Flash%202%20-%20SMW%20Remake%201.3.zip,4.85
UPSERT,Mario's Grand Adventure: Delta Island,Mario's Grand Adventure: Delta Island,Sully1028,7,Casual,Standard,2021-07-30,27808,https://www.smwcentral.net/?a=details&id=27808&p=section,https://dl.smwcentral.net/27808/Mario%27s%20Grand%20Adventure%20Delta%20Island.zip,4.75
UPSERT,Mario's Grand Adventure: Omega Jungle,Mario's Grand Adventure: Omega Jungle,Sully1028,6,Newcomer,Standard,2021-08-26,28058,https://www.smwcentral.net/?a=details&id=28058&p=section,https://dl.smwcentral.net/28058/Mario%27s%20Grand%20Adventure%20Omega%20Jungle.zip,3.5
UPSERT,Mario's Grand Adventure 2: Mario's World Tour,Mario's Grand Adventure 2: Mario's World Tour,Sully1028,21,Casual,Standard,2022-01-13,28978,https://www.smwcentral.net/?a=details&id=28978&p=section,https://dl.smwcentral.net/28978/Mario%27s%20Grand%20Adventure%202%20Mario%27s%20World%20Tour.zip,3
UPSERT,Super Mario Bros: The Search for Oreo Cakesters,Super Mario Bros: The Search for Oreo Cakesters,Sully1028,3,Casual,Standard,2022-04-01,30202,https://www.smwcentral.net/?a=details&id=30202&p=section,https://dl.smwcentral.net/30202/Super%20Mario%20Bros.%20The%20Search%20for%20Oreo%20Cakesters.zip,4.75
UPSERT,Luigi and the Happy Hillside,Luigi and the Happy Hillside,Sully1028,5,Newcomer,Standard,2022-06-18,31167,https://www.smwcentral.net/?a=details&id=31167&p=section,https://dl.smwcentral.net/31167/HappyHillside.zip,4.14
UPSERT,Mario's Grand Adventure,Mario's Grand Adventure,Sully1028,40,Casual,Standard,2022-08-20,31857,https://www.smwcentral.net/?a=details&id=31857&p=section,https://dl.smwcentral.net/31857/Mario%27s%20Grand%20Adventure.zip,3.4
UPSERT,Apple Boy: Attack of Ice Cream Man,Apple Boy: Attack of Ice Cream Man,Sully1028,33,Casual,Standard,2022-10-12,32317,https://www.smwcentral.net/?a=details&id=32317&p=section,https://dl.smwcentral.net/32317/Apple%20Boy%20Attack%20of%20Ice%20Cream%20Man.zip,3.86
UPSERT,Apple Boy 2: Homebound Hero,Apple Boy 2: Homebound Hero,"KaidenThelens, Sully1028",45,Casual,Standard,2023-12-20,35726,https://www.smwcentral.net/?a=details&id=35726&p=section,https://dl.smwcentral.net/35726/Apple%20Boy%20Hack%202.zip,4.8
