Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,For the Love of Mario,For the Love of Mario,Fozymandias,8,Expert,Kaizo,2026-09-15,43148,https://www.smwcentral.net/?a=details&id=43148&p=section,https://dl.smwcentral.net/43148/For%20the%20Love%20of%20Mario.zip,0
UPSERT,New Super Mario World 1: The Twelve Magic Orbs Powered-Up,New Super Mario World 1: The Twelve Magic Orbs Powered-Up,Pink Gold Peach,112,Intermediate,Standard,2023-09-15,34324,https://www.smwcentral.net/?a=details&id=34324&p=section,https://dl.smwcentral.net/34324/New%20Super%20Mario%20World%201%20The%20Twelve%20Magic%20Orbs%20POWERED-UP%20v1.1.zip,4.82
UPSERT,Super shell world,Super shell world,Pizzagamer9791,11,Advanced,Kaizo,2024-03-26,37427,https://www.smwcentral.net/?a=details&id=37427&p=section,https://dl.smwcentral.net/37427/super%20shell%20world%20v1.2.zip,3.43
UPSERT,Tribute,Tribute,JakAttack,16,Intermediate,Kaizo,2026-07-18,42703,https://www.smwcentral.net/?a=details&id=42703&p=section,https://dl.smwcentral.net/42703/Tribute.zip,4.71
UPSERT,Super MADE World,Super MADE World,detroitkoza,10,Intermediate,Kaizo,2026-09-07,43133,https://www.smwcentral.net/?a=details&id=43133&p=section,https://dl.smwcentral.net/43133/Super%20MADE%20World%20v1.1.zip,3.67
