Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Crash Bandicoot and the Retro Dimension 2 - The Crystal Hunt,Crash Bandicoot and the Retro Dimension 2 - The Crystal Hunt,bandicoot,120,Intermediate,Standard,2026-08-20,42821,https://www.smwcentral.net/?a=details&id=42821&p=section,https://dl.smwcentral.net/42821/Crash%20Bandicoot%20and%20The%20Retro%20Dimension%202%20-%20The%20Crystal%20Hunt.zip,5
UPSERT,Super Mario: Buried Treasure,Super Mario: Buried Treasure,CaseP,23,Casual,Standard,2013-10-09,5269,https://www.smwcentral.net/?a=details&id=5269&p=section,https://dl.smwcentral.net/5269/Buried%20Treasure.zip,4.46
UPSERT,The Way of The M,The Way of The M,levelengine,80,Advanced,Standard,2014-03-19,6225,https://www.smwcentral.net/?a=details&id=6225&p=section,https://dl.smwcentral.net/6225/The%20Way%20of%20The%20M%20%28Epsilon%29.zip,3.57
UPSERT,Super Mario Logic,Super Mario Logic,Final Theory,94,Casual,"Standard, Puzzle",2018-01-21,17005,https://www.smwcentral.net/?a=details&id=17005&p=section,https://dl.smwcentral.net/17005/Super%20Mario%20Logic.zip,4.15
UPSERT,stick mice in my head and then beat my head in with a hammer and let them back out,stick mice in my head and then beat my head in with a hammer and let them back out,"Christina Hendricks, JUMP Team",19,Advanced,Standard,2018-02-09,17105,https://www.smwcentral.net/?a=details&id=17105&p=section,https://dl.smwcentral.net/17105/mice.zip,4.48
UPSERT,8 SCREENS,8 SCREENS,Nitrogen,6,Advanced,Standard,2025-11-03,40929,https://www.smwcentral.net/?a=details&id=40929&p=section,https://dl.smwcentral.net/40929/8%20SCREENS.zip,4.5
UPSERT,Kaizo Breeze,Kaizo Breeze,"BielDusty, naBerada",12,Casual,Kaizo,2026-07-20,42670,https://www.smwcentral.net/?a=details&id=42670&p=section,https://dl.smwcentral.net/42670/KaizoBreezev1.1.zip,4.83
DELETE,Crash Bandicoot and the Retro Dimension 2 - The Crystal Hunt,Crash Bandicoot and the Retro Dimension 2 - The Crystal Hunt,bandicoot,120,Intermediate,Standard,2026-07-12,42541,https://www.smwcentral.net/?a=details&id=42541&p=section,https://dl.smwcentral.net/42541/Crash%20Bandicoot%20and%20The%20Retro%20Dimension%202%20-%20The%20Crystal%20Hunt.zip,5
