Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Moonlight,Moonlight,jirok1,10,Casual,Kaizo,2026-09-25,43219,https://www.smwcentral.net/?a=details&id=43219&p=section,https://dl.smwcentral.net/43219/Moonlight.zip,5
UPSERT,Iridium 2,Iridium 2,1mslakingoff,20,Expert,Kaizo,2026-09-26,43221,https://www.smwcentral.net/?a=details&id=43221&p=section,https://dl.smwcentral.net/43221/Iridium%202.zip,5
UPSERT,Mario is Missing! Done Right,Mario is Missing! Done Right,Gamma V,90,Casual,Standard,2017-07-24,15939,https://www.smwcentral.net/?a=details&id=15939&p=section,https://dl.smwcentral.net/15939/MIMFixedIntros.zip,4.52
UPSERT,Legends of Mario,Legends of Mario,"ChrisG___, HmWhyNot, Mega, NeXuS15, SomeBroYouDontKnow, Tubbaluvin",25,Advanced,Kaizo,2018-01-31,17046,https://www.smwcentral.net/?a=details&id=17046&p=section,https://dl.smwcentral.net/17046/LegendsOfMario_v1.2.zip,4.17
UPSERT,Marios Adventure in the Dream World,Marios Adventure in the Dream World,HookEcho,21,Casual,Standard,2018-02-26,17178,https://www.smwcentral.net/?a=details&id=17178&p=section,https://dl.smwcentral.net/17178/MarioAdventureInTheDreamWorld.zip,4.08
UPSERT,super place land!,super place land!,mufbin,5,Newcomer,Standard,2018-03-26,17292,https://www.smwcentral.net/?a=details&id=17292&p=section,https://dl.smwcentral.net/17292/super%20place%20land%21.zip,4
UPSERT,The 3 Little Princesses,The 3 Little Princesses,"Batata Douce, OrangeBronzeDaisy",27,Intermediate,Standard,2022-01-20,29409,https://www.smwcentral.net/?a=details&id=29409&p=section,https://dl.smwcentral.net/29409/The_3_Little_Princesses.zip,4.62
UPSERT,Journey to Kaizo,Journey to Kaizo,"Ahrion, CroNo486, Devazure, Spedinja, Team J2K",38,Intermediate,Kaizo,2026-09-24,43191,https://www.smwcentral.net/?a=details&id=43191&p=section,https://dl.smwcentral.net/43191/Journey%20to%20Kaizo%20v1.1.0.zip,4.81
