Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,[DEMO] Super Tr-lol World 2: Return to Tr-lolshi's Island,[DEMO] Super Tr-lol World 2: Return to Tr-lolshi's Island,Gato_co,10,Intermediate,Standard,2026-09-17,42788,https://www.smwcentral.net/?a=details&id=42788&p=section,https://dl.smwcentral.net/42788/%5BDEMO%5DSuper_Trlol_World_2_Return_to_Trlolshis_Island.zip,0
UPSERT,Lesbian Vampire Killer World 5000,Lesbian Vampire Killer World 5000,Robju,7,Intermediate,Standard,2020-05-26,23089,https://www.smwcentral.net/?a=details&id=23089&p=section,https://dl.smwcentral.net/23089/LesbianVampireKillerWorld5000.zip,2
UPSERT,Scrap Diary,Scrap Diary,"Lazy, lolyoshi",82,Expert,Standard,2026-09-03,42894,https://www.smwcentral.net/?a=details&id=42894&p=section,https://dl.smwcentral.net/42894/Scrap%20Diary%20v1.0.zip,4.83
UPSERT,Super MADE World,Super MADE World,detroitkoza,10,Intermediate,Kaizo,2026-09-07,43133,https://www.smwcentral.net/?a=details&id=43133&p=section,https://dl.smwcentral.net/43133/Super%20MADE%20World%20v1.1.zip,3.43
