Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Entropy,Entropy,drkrdnk,16,Expert,Kaizo,2023-08-05,34714,https://www.smwcentral.net/?a=details&id=34714&p=section,https://dl.smwcentral.net/34714/entropy_v101.zip,4.75
UPSERT,Luigi's Misadventures 5 - Rougenia Merald's challenge,Luigi's Misadventures 5 - Rougenia Merald's challenge,Roberto zampari,112,Intermediate,Standard,2023-10-23,35320,https://www.smwcentral.net/?a=details&id=35320&p=section,https://dl.smwcentral.net/35320/Luigimiss5full04A.zip,4.78
UPSERT,Brothermen,Brothermen,"JezJitzu, MorrieTheMagpie, pnaha",5,Advanced,Kaizo,2026-07-11,42661,https://www.smwcentral.net/?a=details&id=42661&p=section,https://dl.smwcentral.net/42661/Brothermen.zip,4.5
