Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,The Sweet Sweet Love Unabridged,The Sweet Sweet Love Unabridged,Beefy Chud,51,Advanced,Kaizo,2026-08-12,42785,https://www.smwcentral.net/?a=details&id=42785&p=section,https://dl.smwcentral.net/42785/The_Sweet_Sweet_Love_Unabridged_V1.zip,4
UPSERT,Mario Rescues the Golden Mushroom,Mario Rescues the Golden Mushroom,Green Jerry,42,Casual,Standard,2019-08-13,20754,https://www.smwcentral.net/?a=details&id=20754&p=section,https://dl.smwcentral.net/20754/Mario%20Rescues%20the%20Golden%20Mushroom%20V1.1.4.zip,4.33
UPSERT,TheIslands,TheIslands,SonofSolaire,13,Expert,Kaizo,2026-06-26,42594,https://www.smwcentral.net/?a=details&id=42594&p=section,https://dl.smwcentral.net/42594/TheIslandsv1.1.zip,5
