Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Swiftly 17,Swiftly 17,Lee12UK,17,Advanced,Kaizo,2023-03-30,33640,https://www.smwcentral.net/?a=details&id=33640&p=section,https://dl.smwcentral.net/33640/Swiftly17.zip,4.88
UPSERT,Kaizo Breeze,Kaizo Breeze,"BielDusty, naBerada",12,Casual,Kaizo,2026-07-20,42670,https://www.smwcentral.net/?a=details&id=42670&p=section,https://dl.smwcentral.net/42670/KaizoBreezev1.1.zip,4.5
