Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Nays Nice Hack,Nays Nice Hack,mikeeeeee83,20,Expert,Kaizo,2026-08-24,42844,https://www.smwcentral.net/?a=details&id=42844&p=section,https://dl.smwcentral.net/42844/NaysNiceHack1.0.zip,4
UPSERT,An SMW Central Production,An SMW Central Production,SMW Central,117,Advanced,Standard,2014-01-01,5420,https://www.smwcentral.net/?a=details&id=5420&p=section,https://dl.smwcentral.net/5420/SMWCP.zip,3.8
UPSERT,Super Peggy World,Super Peggy World,smasken,13,Intermediate,Kaizo,2019-04-04,19565,https://www.smwcentral.net/?a=details&id=19565&p=section,https://dl.smwcentral.net/19565/SuperPeggyWorld1.4.zip,4.06
UPSERT,Why Do Coins Float?,Why Do Coins Float?,FalseCircus,12,Master,Kaizo,2022-02-17,28807,https://www.smwcentral.net/?a=details&id=28807&p=section,https://dl.smwcentral.net/28807/Why%20Do%20Coins%20Float.zip,4.67
UPSERT,Steamboat Mario,Steamboat Mario,Buzbee,7,Newcomer,Standard,2022-07-07,31286,https://www.smwcentral.net/?a=details&id=31286&p=section,https://dl.smwcentral.net/31286/Steamboat%20Mario.zip,4.33
UPSERT,Super Mario World - Parodian Art Edition,Super Mario World - Parodian Art Edition,Parodian Dark,9,Casual,Standard,2023-01-14,32917,https://www.smwcentral.net/?a=details&id=32917&p=section,https://dl.smwcentral.net/32917/SMWPAE.zip,3
UPSERT,Mario Goes To The Store,Mario Goes To The Store,eltiolavara9,56,Intermediate,Standard,2025-06-20,39995,https://www.smwcentral.net/?a=details&id=39995&p=section,https://dl.smwcentral.net/39995/mario%20goes%20to%20the%20store.zip,4.73
UPSERT,Super Mario Bros 3 as Dinosaur Land,Super Mario Bros 3 as Dinosaur Land,Fento34,120,Advanced,Standard,2026-07-22,42495,https://www.smwcentral.net/?a=details&id=42495&p=section,https://dl.smwcentral.net/42495/SMB3%20as%20Dinosaur%20Land%20v3.4.2.zip,4.71
UPSERT,Super Mario World: The Magical Golden Mushroom,Super Mario World: The Magical Golden Mushroom,Green Jerry,70,Intermediate,Standard,2026-07-05,42564,https://www.smwcentral.net/?a=details&id=42564&p=section,https://dl.smwcentral.net/42564/Super%20Mario%20World%20-%20The%20Magical%20Golden%20Mushroom%20v1.2.zip,4.75
