Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Journey to Kaizo,Journey to Kaizo,"Ahrion, CroNo486, Devazure, Spedinja, Team J2K",38,Intermediate,Kaizo,2026-09-24,43191,https://www.smwcentral.net/?a=details&id=43191&p=section,https://dl.smwcentral.net/43191/Journey%20to%20Kaizo%20v1.1.0.zip,4.8
UPSERT,Jigoku Mario World Remastered,Jigoku Mario World Remastered,Nowieso,24,Expert,Kaizo,2019-08-02,20730,https://www.smwcentral.net/?a=details&id=20730&p=section,https://dl.smwcentral.net/20730/Jigoku%20Mario%20World%20Remastered.zip,4.6
UPSERT,Smoked Fish and Cabbage 2,Smoked Fish and Cabbage 2,xMANGRAVYx,28,Intermediate,Kaizo,2026-07-16,42687,https://www.smwcentral.net/?a=details&id=42687&p=section,https://dl.smwcentral.net/42687/Smoked%20Fish%20and%20Cabbage%202%20v1.1.zip,4.79
