Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Super Mario World: Vanilla Peak,Super Mario World: Vanilla Peak,Tob,6,Casual,Standard,2026-09-01,42895,https://www.smwcentral.net/?a=details&id=42895&p=section,https://dl.smwcentral.net/42895/smwvp.zip,2.5
UPSERT,Quickie World 2,Quickie World 2,Valdio,22,Intermediate,Kaizo,2019-03-08,19279,https://www.smwcentral.net/?a=details&id=19279&p=section,https://dl.smwcentral.net/19279/Quickie%20World%202.zip,4.98
UPSERT,Marios Pizza Party,Marios Pizza Party,Saphros,10,Intermediate,Kaizo,2024-06-13,37928,https://www.smwcentral.net/?a=details&id=37928&p=section,https://dl.smwcentral.net/37928/MariosPizzaParty.zip,4.5
UPSERT,A Thing w/ Peiton,A Thing w/ Peiton,Peyton,69,Advanced,Standard,2025-05-26,39597,https://www.smwcentral.net/?a=details&id=39597&p=section,https://dl.smwcentral.net/39597/A%20Thing%20With%20Peiton%20v.1.1.zip,4.5
UPSERT,Smoked Fish and Cabbage,Smoked Fish and Cabbage,xMANGRAVYx,7,Intermediate,"Standard, Kaizo",2026-07-09,42654,https://www.smwcentral.net/?a=details&id=42654&p=section,https://dl.smwcentral.net/42654/Smoked%20Fish%20and%20Cabbage%20v2.1.zip,4.53
UPSERT,Smoked Fish and Cabbage 2,Smoked Fish and Cabbage 2,xMANGRAVYx,28,Intermediate,Kaizo,2026-07-16,42687,https://www.smwcentral.net/?a=details&id=42687&p=section,https://dl.smwcentral.net/42687/Smoked%20Fish%20and%20Cabbage%202%20v1.1.zip,4.88
UPSERT,super xler8 world (2),super xler8 world (2),XLer8,19,Advanced,Standard,2026-08-27,42845,https://www.smwcentral.net/?a=details&id=42845&p=section,https://dl.smwcentral.net/42845/XL2.zip,3.33
UPSERT,Super Wario World: Master Chuck's Revenge,Super Wario World: Master Chuck's Revenge,Green Jerry,58,Intermediate,Standard,2026-08-28,42891,https://www.smwcentral.net/?a=details&id=42891&p=section,https://dl.smwcentral.net/42891/Super%20Wario%20World%20-%20Master%20Chuck%27s%20Revenge%20v1.1.zip,3.67
UPSERT,Journey to Kaizo,Journey to Kaizo,"Ahrion, CroNo486, Devazure, Spedinja, Team J2K",38,Intermediate,Kaizo,2026-08-23,42947,https://www.smwcentral.net/?a=details&id=42947&p=section,https://dl.smwcentral.net/42947/Journey%20to%20Kaizo%20v1.0.1.zip,4.82
