Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Toad's World,Toad's World,"FPI, Ice Man, ghettoyouth",56,Advanced,Standard,2026-08-21,42825,https://www.smwcentral.net/?a=details&id=42825&p=section,https://dl.smwcentral.net/42825/Toad%27s%20World%20%282026%20Version%201.4%29.zip,4.37
UPSERT,Not Another Puzzle Hack,Not Another Puzzle Hack,TheBiob,20,Intermediate,Standard,2018-02-05,17088,https://www.smwcentral.net/?a=details&id=17088&p=section,https://dl.smwcentral.net/17088/naph.zip,3.8
UPSERT,Bread World,Bread World,MrBread,11,Intermediate,Kaizo,2020-03-30,22536,https://www.smwcentral.net/?a=details&id=22536&p=section,https://dl.smwcentral.net/22536/BreadWorld.zip,4
DELETE,Toad's World,Toad's World,"FPI, Ice Man, ghettoyouth",56,Advanced,Standard,2026-07-20,42620,https://www.smwcentral.net/?a=details&id=42620&p=section,https://dl.smwcentral.net/42620/Toad%27s%20World%20%282026%20Version%201.2%29.zip,4.39
