Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Super Wakana Land,Super Wakana Land,Wakana,69,Advanced,Standard,2018-08-02,17982,https://www.smwcentral.net/?a=details&id=17982&p=section,https://dl.smwcentral.net/17982/SWL2.1.1.zip,4.74
UPSERT,MOON,MOON,cur,20,Master,Kaizo,2021-01-12,25624,https://www.smwcentral.net/?a=details&id=25624&p=section,https://dl.smwcentral.net/25624/MOON.zip,4.36
UPSERT,Send Your Regrets to the Czar,Send Your Regrets to the Czar,"JUMP Team, Koopster",24,Master,Kaizo,2022-01-31,29645,https://www.smwcentral.net/?a=details&id=29645&p=section,https://dl.smwcentral.net/29645/Send%20Your%20Regrets%20to%20the%20Czar%20v1.2.zip,4.69
UPSERT,Super Cindy World 3,Super Cindy World 3,The_Uber_Camper,29,Intermediate,Kaizo,2022-02-10,29715,https://www.smwcentral.net/?a=details&id=29715&p=section,https://dl.smwcentral.net/29715/SuperCindyWorld3.zip,4.42
UPSERT,Apple Boy 2: Homebound Hero,Apple Boy 2: Homebound Hero,"Apple Boy, KaidenThelens",45,Casual,Standard,2023-12-20,35726,https://www.smwcentral.net/?a=details&id=35726&p=section,https://dl.smwcentral.net/35726/Apple%20Boy%20Hack%202.zip,4.8
UPSERT,Masterpiece,Masterpiece,YMM,62,Master,Kaizo,2025-10-21,40715,https://www.smwcentral.net/?a=details&id=40715&p=section,https://dl.smwcentral.net/40715/Masterpiece%20v1.2.8.zip,4.62
UPSERT,Toad's World,Toad's World,"FPI, Ice Man, ghettoyouth",56,Advanced,Standard,2026-07-20,42620,https://www.smwcentral.net/?a=details&id=42620&p=section,https://dl.smwcentral.net/42620/Toad%27s%20World%20%282026%20Version%201.2%29.zip,4.39
