Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Somewhere Beyond The Moon,Somewhere Beyond The Moon,Doubldoom,14,Master,Kaizo,2026-09-04,43090,https://www.smwcentral.net/?a=details&id=43090&p=section,https://dl.smwcentral.net/43090/BeyondTheMoon.zip,5
UPSERT,Panga's Kaizo Kindergarten (For Dummies),Panga's Kaizo Kindergarten (For Dummies),PangaeaPanga,40,Expert,Kaizo,2019-06-14,20091,https://www.smwcentral.net/?a=details&id=20091&p=section,https://dl.smwcentral.net/20091/Kaizo%20Kindergarten%20v1.09.zip,4.62
UPSERT,SMW2+3: The Essence Star,SMW2+3: The Essence Star,Golden Yoshi,45,Casual,Standard,2020-12-25,25235,https://www.smwcentral.net/?a=details&id=25235&p=section,https://dl.smwcentral.net/25235/SMW2%2B3-TheEssenceStar.zip,4.5
UPSERT,Easyland 2,Easyland 2,RicardoDeMelo,16,Intermediate,Kaizo,2024-10-07,38528,https://www.smwcentral.net/?a=details&id=38528&p=section,https://dl.smwcentral.net/38528/Easyland%202.zip,4.69
UPSERT,Journey to Kaizo,Journey to Kaizo,"Ahrion, CroNo486, Devazure, Spedinja, Team J2K",38,Intermediate,Kaizo,2026-08-23,42947,https://www.smwcentral.net/?a=details&id=42947&p=section,https://dl.smwcentral.net/42947/Journey%20to%20Kaizo%20v1.0.1.zip,4.72
