Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,This Hack Needs a Name,This Hack Needs a Name,yeahman,118,Intermediate,Standard,2023-06-04,33796,https://www.smwcentral.net/?a=details&id=33796&p=section,https://dl.smwcentral.net/33796/this%20hack%20needs%20a%20name.zip,4.68
UPSERT,Devil's Asylum,Devil's Asylum,TheMorganah,2,Intermediate,Standard,2025-10-27,40873,https://www.smwcentral.net/?a=details&id=40873&p=section,https://dl.smwcentral.net/40873/%5B2021%5D%20Devil%27s%20Asylum%20DEMO.zip,5
UPSERT,Toad's World,Toad's World,"FPI, Ice Man, ghettoyouth",56,Advanced,Standard,2026-07-20,42620,https://www.smwcentral.net/?a=details&id=42620&p=section,https://dl.smwcentral.net/42620/Toad%27s%20World%20%282026%20Version%201.2%29.zip,4.37
UPSERT,Super Mario World Ridley X Hack 2 Super 8-Bit,Super Mario World Ridley X Hack 2 Super 8-Bit,Ridley X,53,Intermediate,Standard,2026-08-01,42737,https://www.smwcentral.net/?a=details&id=42737&p=section,https://dl.smwcentral.net/42737/smw%20ridleyx%20hack2%20v1.0.zip,5
