Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,BooSide,BooSide,CousinCatnip,8,Intermediate,Standard,2021-05-25,27043,https://www.smwcentral.net/?a=details&id=27043&p=section,https://dl.smwcentral.net/27043/BooSide%201.0.zip,4.33
UPSERT,Toadventure,Toadventure,Captain Domas,10,Advanced,Kaizo,2021-09-11,28264,https://www.smwcentral.net/?a=details&id=28264&p=section,https://dl.smwcentral.net/28264/Toadventure.zip,4.75
UPSERT,CHI,CHI,MorrieTheMagpie,11,Advanced,Kaizo,2022-05-04,30753,https://www.smwcentral.net/?a=details&id=30753&p=section,https://dl.smwcentral.net/30753/CHIV1.1.zip,4.75
