Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Wario's Return,Wario's Return,Retired Man,7,Casual,Standard,2013-06-21,5372,https://www.smwcentral.net/?a=details&id=5372&p=section,https://dl.smwcentral.net/5372/Wario%C2%B4s%20Return.zip,3.46
UPSERT,Vanilla Failure: Blind Devil's Final Stand,Vanilla Failure: Blind Devil's Final Stand,Blind Devil,7,Newcomer,Standard,2013-06-21,5493,https://www.smwcentral.net/?a=details&id=5493&p=section,https://dl.smwcentral.net/5493/Vanilla%20Failure%20C3%20Demo%20v1.1.zip,4.27
UPSERT,Wario World: Between The Dimensions,Wario World: Between The Dimensions,SLBros.,7,Newcomer,Standard,2013-06-21,5500,https://www.smwcentral.net/?a=details&id=5500&p=section,https://dl.smwcentral.net/5500/Wario%20World%20-%20Between%20The%20Dimensions%20%28Ver1.5b%29.zip,3.5
UPSERT,Tsunami Island,Tsunami Island,PROMETHEUS,9,Casual,Standard,2013-06-21,5609,https://www.smwcentral.net/?a=details&id=5609&p=section,https://dl.smwcentral.net/5609/Tsunami%20Island.zip,3.67
UPSERT,Nachos and Fried Oreos,Nachos and Fried Oreos,"GbreezeSunset, MiracleWater",15,Advanced,Standard,2019-02-25,19044,https://www.smwcentral.net/?a=details&id=19044&p=section,https://dl.smwcentral.net/19044/Nachos%20and%20Fried%20Oreos.zip,4
UPSERT,Baby Kaizo World 2,Baby Kaizo World 2,Phyll,34,Intermediate,Kaizo,2022-06-22,31182,https://www.smwcentral.net/?a=details&id=31182&p=section,https://dl.smwcentral.net/31182/BKW2V1.1NeW.zip,4.81
UPSERT,Mario Goes to Brazil,Mario Goes to Brazil,MarcosMoutta,11,Advanced,Standard,2022-11-27,32554,https://www.smwcentral.net/?a=details&id=32554&p=section,https://dl.smwcentral.net/32554/MGtB.zip,4.35
UPSERT,Jumps Rhymes and Life,Jumps Rhymes and Life,Abstract,25,Master,Kaizo,2026-08-18,42858,https://www.smwcentral.net/?a=details&id=42858&p=section,https://dl.smwcentral.net/42858/JumpsRhymesLife.zip,4.67
