Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Nonsense,Nonsense,"GbreezeSunset, MiracleWater, Various Authors",119,Expert,Standard,2024-05-21,37734,https://www.smwcentral.net/?a=details&id=37734&p=section,https://dl.smwcentral.net/37734/Nonsense%201.1.zip,4.78
UPSERT,Learn 2 Kaizo,Learn 2 Kaizo,NeXuS15,68,Advanced,Kaizo,2026-05-17,42361,https://www.smwcentral.net/?a=details&id=42361&p=section,https://dl.smwcentral.net/42361/Learn2Kaizo%20v1.1.zip,4.5
UPSERT,Toad's World,Toad's World,"FPI, Ice Man, ghettoyouth",56,Advanced,Standard,2026-07-20,42620,https://www.smwcentral.net/?a=details&id=42620&p=section,https://dl.smwcentral.net/42620/Toad%27s%20World%20%282026%20Version%201.2%29.zip,4.35
UPSERT,Smoked Fish and Cabbage 3,Smoked Fish and Cabbage 3,xMANGRAVYx,28,Advanced,Kaizo,2026-07-25,42723,https://www.smwcentral.net/?a=details&id=42723&p=section,https://dl.smwcentral.net/42723/Smoked%20Fish%20and%20Cabbage%203%20v1.1.zip,4.18
