Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Mario goes to Wendy's,Mario goes to Wendy's,autumnfrog,13,Casual,Standard,2022-09-23,32143,https://www.smwcentral.net/?a=details&id=32143&p=section,https://dl.smwcentral.net/32143/mario%20goes%20to%20wendys.zip,1.5
UPSERT,Trans Liberation Forever,Trans Liberation Forever,Mars,5,Grandmaster,Kaizo,2023-01-28,33007,https://www.smwcentral.net/?a=details&id=33007&p=section,https://dl.smwcentral.net/33007/Trans%20Liberation%20Forever%202.04.zip,5
UPSERT,Oops! All Fortresses,Oops! All Fortresses,Mars,5,Casual,Kaizo,2023-05-15,33927,https://www.smwcentral.net/?a=details&id=33927&p=section,https://dl.smwcentral.net/33927/Oops%21%20All%20Fortresses.zip,4.82
UPSERT,Retrograde Nine,Retrograde Nine,Mars,0,Expert,Kaizo,2023-09-29,35107,https://www.smwcentral.net/?a=details&id=35107&p=section,https://dl.smwcentral.net/35107/Retrograde%20Nine%201.02.zip,4.8
UPSERT,PropL\R Block,PropL\R Block,Mars,0,Master,Kaizo,2024-01-16,35878,https://www.smwcentral.net/?a=details&id=35878&p=section,https://dl.smwcentral.net/35878/PropL-R%20Block.zip,5
UPSERT,Safespace Challenge,Safespace Challenge,Mars,1,Grandmaster,Kaizo,2024-07-10,38077,https://www.smwcentral.net/?a=details&id=38077&p=section,https://dl.smwcentral.net/38077/Safespace%20Challenge.zip,5
UPSERT,Free Luigi,Free Luigi,Mars,9,Intermediate,"Standard, Kaizo",2025-05-03,39759,https://www.smwcentral.net/?a=details&id=39759&p=section,https://dl.smwcentral.net/39759/Free%20Luigi.zip,5
UPSERT,Evolve or Die,Evolve or Die,Mars,3,Advanced,"Standard, Kaizo",2025-09-16,40635,https://www.smwcentral.net/?a=details&id=40635&p=section,https://dl.smwcentral.net/40635/Evolve%20or%20Die.zip,5
UPSERT,Absolute Authenticity,Absolute Authenticity,Mars,0,Grandmaster,Kaizo,2026-03-08,41559,https://www.smwcentral.net/?a=details&id=41559&p=section,https://dl.smwcentral.net/41559/Absolute%20Authenticity.zip,0
UPSERT,A Strongly-Worded Letter to the Iceberg,A Strongly-Worded Letter to the Iceberg,Mars,7,Master,"Standard, Kaizo",2026-04-22,41930,https://www.smwcentral.net/?a=details&id=41930&p=section,https://dl.smwcentral.net/41930/A%20Strongly-Worded%20Letter%20to%20the%20Iceberg%201.01.zip,4.6
