Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Super XLer8 World - Chapter 1: Luigi and the Seven Castles,Super XLer8 World - Chapter 1: Luigi and the Seven Castles,XLer8,20,Intermediate,Standard,2026-08-13,42730,https://www.smwcentral.net/?a=details&id=42730&p=section,https://dl.smwcentral.net/42730/XL8.zip,0
UPSERT,Critter Quest,Critter Quest,JakesBRjust,10,Advanced,Kaizo,2026-08-13,42841,https://www.smwcentral.net/?a=details&id=42841&p=section,https://dl.smwcentral.net/42841/Critter%20Quest%20v1.2.zip,5
UPSERT,Touhou Mario: Imperishable Night,Touhou Mario: Imperishable Night,"Vitor Vilela, Wakana",18,Intermediate,Standard,2014-01-11,6059,https://www.smwcentral.net/?a=details&id=6059&p=section,https://dl.smwcentral.net/6059/Touhou%20Mario.zip,4.17
UPSERT,Super Mario Land 3: Tatanga's Return,Super Mario Land 3: Tatanga's Return,Gamma V,70,Casual,Standard,2016-05-12,13608,https://www.smwcentral.net/?a=details&id=13608&p=section,https://dl.smwcentral.net/13608/TatangasReturn2.1.zip,4.19
UPSERT,Christmas Puzzle,Christmas Puzzle,TheOrangeToad,27,Intermediate,Standard,2016-12-29,14831,https://www.smwcentral.net/?a=details&id=14831&p=section,https://dl.smwcentral.net/14831/CP.zip,2.57
UPSERT,Mario is Missing! Done Right,Mario is Missing! Done Right,Gamma V,90,Casual,Standard,2017-07-24,15939,https://www.smwcentral.net/?a=details&id=15939&p=section,https://dl.smwcentral.net/15939/MIMFixedIntros.zip,4.51
UPSERT,Grand Poo World 2,Grand Poo World 2,Barbarian,23,Master,Kaizo,2019-04-04,19541,https://www.smwcentral.net/?a=details&id=19541&p=section,https://dl.smwcentral.net/19541/Grand%20Poo%20World%202%201.1.zip,4.6
UPSERT,Super Mario Outbreak,Super Mario Outbreak,Gamma V,20,Casual,Standard,2020-05-10,22929,https://www.smwcentral.net/?a=details&id=22929&p=section,https://dl.smwcentral.net/22929/Outbreak%20Demo%20-%20Fixed.zip,4.7
UPSERT,Retro Marioland,Retro Marioland,LocoFuzzyPants,10,Expert,Kaizo,2024-10-07,38510,https://www.smwcentral.net/?a=details&id=38510&p=section,https://dl.smwcentral.net/38510/Retro%20Marioland%20v1.2.zip,5
DELETE,Critter Quest,Critter Quest,JakesBRjust,10,Advanced,Kaizo,2025-07-29,40194,https://www.smwcentral.net/?a=details&id=40194&p=section,https://dl.smwcentral.net/40194/Critter%20Quest%20v1.1.zip,5
