Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Mario's Misadventures 2: The Black Hole Bomb,Mario's Misadventures 2: The Black Hole Bomb,signature_steve,98,Casual,Standard,2026-09-05,42606,https://www.smwcentral.net/?a=details&id=42606&p=section,https://dl.smwcentral.net/42606/MariosMisadventures2%20v1.3.zip,5
UPSERT,Panga's Kaizo Kindergarten (For Dummies),Panga's Kaizo Kindergarten (For Dummies),PangaeaPanga,40,Expert,Kaizo,2019-06-14,20091,https://www.smwcentral.net/?a=details&id=20091&p=section,https://dl.smwcentral.net/20091/Kaizo%20Kindergarten%20v1.09.zip,4.64
UPSERT,Of Heavy Riffs and Awesome Basslines,Of Heavy Riffs and Awesome Basslines,grisu,6,Intermediate,Kaizo,2021-08-19,28027,https://www.smwcentral.net/?a=details&id=28027&p=section,https://dl.smwcentral.net/28027/Of%20Heavy%20Riffs%20and%20Awesome%20Basslines.zip,4.67
UPSERT,2Kaizo2Learn,2Kaizo2Learn,blueribbonhighlife,69,Intermediate,Kaizo,2022-11-21,32593,https://www.smwcentral.net/?a=details&id=32593&p=section,https://dl.smwcentral.net/32593/2Kaizo2Learn_1.0.zip,4.74
UPSERT,Simply Kaizo,Simply Kaizo,Pottsie,11,Intermediate,Kaizo,2026-07-12,42650,https://www.smwcentral.net/?a=details&id=42650&p=section,https://dl.smwcentral.net/42650/Simply%20Kaizo.zip,4.17
UPSERT,Tribute,Tribute,JakAttack,16,Intermediate,Kaizo,2026-07-18,42703,https://www.smwcentral.net/?a=details&id=42703&p=section,https://dl.smwcentral.net/42703/Tribute.zip,4.64
UPSERT,Super XLer8 World - Chapter 1: Luigi and the Seven Castles,Super XLer8 World - Chapter 1: Luigi and the Seven Castles,XLer8,20,Intermediate,Standard,2026-08-13,42730,https://www.smwcentral.net/?a=details&id=42730&p=section,https://dl.smwcentral.net/42730/XL8.zip,4.67
UPSERT,Journey to Kaizo,Journey to Kaizo,"Ahrion, CroNo486, Devazure, Spedinja, Team J2K",38,Intermediate,Kaizo,2026-08-23,42947,https://www.smwcentral.net/?a=details&id=42947&p=section,https://dl.smwcentral.net/42947/Journey%20to%20Kaizo%20v1.0.1.zip,4.73
DELETE,Mario's Misadventures 2: The Black Hole Bomb,Mario's Misadventures 2: The Black Hole Bomb,signature_steve,98,Casual,Standard,2026-01-02,41279,https://www.smwcentral.net/?a=details&id=41279&p=section,https://dl.smwcentral.net/41279/MariosMisadventures2%20v1.2.5.zip,5
