Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Scrap Diary,Scrap Diary,"Lazy, lolyoshi",82,Expert,Standard,2026-09-03,42894,https://www.smwcentral.net/?a=details&id=42894&p=section,https://dl.smwcentral.net/42894/Scrap%20Diary%20v1.0.zip,4.75
UPSERT,super xler8 world (2),super xler8 world (2),XLer8,19,Advanced,Standard,2026-08-27,42845,https://www.smwcentral.net/?a=details&id=42845&p=section,https://dl.smwcentral.net/42845/XL2.zip,3.75
UPSERT,Journey to Kaizo,Journey to Kaizo,"Ahrion, CroNo486, Devazure, Spedinja, Team J2K",38,Intermediate,Kaizo,2026-08-23,42947,https://www.smwcentral.net/?a=details&id=42947&p=section,https://dl.smwcentral.net/42947/Journey%20to%20Kaizo%20v1.0.1.zip,4.83
