Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Save Luigi,Save Luigi,Overcomon7,30,Expert,Kaizo,2021-03-06,26096,https://www.smwcentral.net/?a=details&id=26096&p=section,https://dl.smwcentral.net/26096/SaveLuigiV5.1.zip,2.75
UPSERT,Bavario Bros.,Bavario Bros.,"Ahrion, DoktorGroove, Edphonse15, Gulaschko, H3nt4ik4m3n, KoS, Maw, Nowieso, Rudi_Schrausch, Schlafkopf, Spedinja, neidoodle, xamexer",16,Expert,Kaizo,2024-02-26,37056,https://www.smwcentral.net/?a=details&id=37056&p=section,https://dl.smwcentral.net/37056/Bavario%20Bros.%20v1.1.zip,4.17
UPSERT,Mario's Otherworld,Mario's Otherworld,crabtank,17,Advanced,Standard,2026-07-21,42682,https://www.smwcentral.net/?a=details&id=42682&p=section,https://dl.smwcentral.net/42682/mow_v1_0.zip,4.6
