Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Cute Kaizo World,Cute Kaizo World,slopcore,14,Advanced,Kaizo,2021-02-22,26252,https://www.smwcentral.net/?a=details&id=26252&p=section,https://dl.smwcentral.net/26252/CuteKaizoWorldv1.1.zip,4.86
UPSERT,SMW The Crown Tale,SMW The Crown Tale,bandicoot,112,Intermediate,Standard,2021-09-25,28099,https://www.smwcentral.net/?a=details&id=28099&p=section,https://dl.smwcentral.net/28099/SMW%20The%20Crown%20Tale%20v1.3.zip,4.92
UPSERT,Newbie Kaizo World,Newbie Kaizo World,Azula16,11,Advanced,Kaizo,2022-01-13,29486,https://www.smwcentral.net/?a=details&id=29486&p=section,https://dl.smwcentral.net/29486/Newbie%20Kaizo%20World%20v2.zip,4.59
UPSERT,Bullymario's New Super Mario World,Bullymario's New Super Mario World,Bullymario,80,Intermediate,Standard,2022-09-24,31895,https://www.smwcentral.net/?a=details&id=31895&p=section,https://dl.smwcentral.net/31895/NSMW1%20%28Fixed%29.zip,4.25
UPSERT,Super Mario Bros. - The Lost Mario Quest,Super Mario Bros. - The Lost Mario Quest,Bullymario,89,Intermediate,Standard,2024-03-13,37334,https://www.smwcentral.net/?a=details&id=37334&p=section,https://dl.smwcentral.net/37334/SMBTLMQ%20v2.2.zip,4.77
UPSERT,SA-1: Special Adventure - 1,SA-1: Special Adventure - 1,Hayashi Neru,118,Intermediate,Standard,2024-05-04,37596,https://www.smwcentral.net/?a=details&id=37596&p=section,https://dl.smwcentral.net/37596/SA-1%EF%BC%9A%20Special%20Adventure%20-%201.zip,4.67
UPSERT,New Super Mario World 2: Luigi's Quest,New Super Mario World 2: Luigi's Quest,Bullymario,100,Casual,Standard,2024-07-14,37998,https://www.smwcentral.net/?a=details&id=37998&p=section,https://dl.smwcentral.net/37998/NSMW2%20v2.2.1%20%28update%29.zip,4.44
