Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Donkey Kong 3: Another Rise!,Donkey Kong 3: Another Rise!,Big Brawler,4,Intermediate,Standard,2018-07-24,17934,https://www.smwcentral.net/?a=details&id=17934&p=section,https://dl.smwcentral.net/17934/Donkey%20Kong%203%20Another%20Rise%21%20Ver1.3.zip,4.67
UPSERT,Lost in the Forest,Lost in the Forest,Sockbat Replica,111,Intermediate,Standard,2018-08-04,17968,https://www.smwcentral.net/?a=details&id=17968&p=section,https://dl.smwcentral.net/17968/Lost%20in%20the%20Forest.zip,4.83
UPSERT,Bits and Pieces,Bits and Pieces,levelengine,58,Advanced,Standard,2018-09-29,18119,https://www.smwcentral.net/?a=details&id=18119&p=section,https://dl.smwcentral.net/18119/Bits_and_Pieces_3rd_Edition.zip,4.75
UPSERT,Pumpkins and Slaughter,Pumpkins and Slaughter,HLXY,1,Expert,Kaizo,2018-10-31,18384,https://www.smwcentral.net/?a=details&id=18384&p=section,https://dl.smwcentral.net/18384/P%26S.zip,5
UPSERT,Cool Zone,Cool Zone,FridayFables,16,Advanced,Kaizo,2018-11-20,18476,https://www.smwcentral.net/?a=details&id=18476&p=section,https://dl.smwcentral.net/18476/CoolZone.zip,4.82
UPSERT,Chain Reaction,Chain Reaction,Sweetdude,15,Expert,Kaizo,2018-12-18,18669,https://www.smwcentral.net/?a=details&id=18669&p=section,https://dl.smwcentral.net/18669/Chain%20Reaction.zip,4.75
UPSERT,Super Moo World,Super Moo World,Jenboo,16,Intermediate,Kaizo,2020-05-26,23075,https://www.smwcentral.net/?a=details&id=23075&p=section,https://dl.smwcentral.net/23075/SuperMooWorld.zip,4.48
UPSERT,Of Jumps and Platforms,Of Jumps and Platforms,Darolac,7,Intermediate,Standard,2020-07-13,23814,https://www.smwcentral.net/?a=details&id=23814&p=section,https://dl.smwcentral.net/23814/Of_Jumps_and_Platforms.zip,4.86
UPSERT,2Kaizo2Learn,2Kaizo2Learn,blueribbonhighlife,69,Intermediate,Kaizo,2022-11-21,32593,https://www.smwcentral.net/?a=details&id=32593&p=section,https://dl.smwcentral.net/32593/2Kaizo2Learn_1.0.zip,4.71
UPSERT,Oops! All Fortresses,Oops! All Fortresses,Mars,5,Casual,Kaizo,2023-05-15,33927,https://www.smwcentral.net/?a=details&id=33927&p=section,https://dl.smwcentral.net/33927/Oops%21%20All%20Fortresses.zip,4.81
UPSERT,Easyland,Easyland,RicardoDeMelo,14,Intermediate,Kaizo,2024-04-04,37583,https://www.smwcentral.net/?a=details&id=37583&p=section,https://dl.smwcentral.net/37583/Easyland.zip,4.68
UPSERT,Perchance,Perchance,papanug,36,Master,Kaizo,2025-01-07,38173,https://www.smwcentral.net/?a=details&id=38173&p=section,https://dl.smwcentral.net/38173/Perchance.zip,3.86
UPSERT,Playground Kaizo,Playground Kaizo,RicardoDeMelo,6,Casual,Kaizo,2026-02-13,41584,https://www.smwcentral.net/?a=details&id=41584&p=section,https://dl.smwcentral.net/41584/Playground%20Kaizo.zip,4.85
UPSERT,Rooting for Toad,Rooting for Toad,GlitchyR-01,4,Newcomer,Standard,2026-09-20,43162,https://www.smwcentral.net/?a=details&id=43162&p=section,https://dl.smwcentral.net/43162/Rooting%20for%20Toad.zip,5
DELETE,Journey to Kaizo,Journey to Kaizo,"Ahrion, CroNo486, Devazure, Spedinja, Team J2K",38,Intermediate,Kaizo,2026-08-23,42947,https://www.smwcentral.net/?a=details&id=42947&p=section,https://dl.smwcentral.net/42947/Journey%20to%20Kaizo%20v1.0.1.zip,4.79
