Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Gransys,Gransys,JinRokhZenobi,46,Expert,Kaizo,2026-07-31,42755,https://www.smwcentral.net/?a=details&id=42755&p=section,https://dl.smwcentral.net/42755/Gransys.zip,0
UPSERT,"Law & Order: Mushroom Kingdom Unit - Pilot Episode - Tragic Fox ""Tails"" (Director's Cut)","Law & Order: Mushroom Kingdom Unit - Pilot Episode - Tragic Fox ""Tails"" (Director's Cut)","ChaseNScooter, Daizo Dee Von, EvilGuy0613, Jamie",1,Casual,Standard,2024-10-02,38323,https://www.smwcentral.net/?a=details&id=38323&p=section,https://dl.smwcentral.net/38323/Law%20%26%20Order%20Mushroom%20Kingdom%20Unit%20Pilot%20-%20Director%27s%20Cut%20%28v1.0.2%29.zip,4.75
UPSERT,Mario Goes To The Store,Mario Goes To The Store,eltiolavara9,56,Intermediate,Standard,2025-06-20,39995,https://www.smwcentral.net/?a=details&id=39995&p=section,https://dl.smwcentral.net/39995/mario%20goes%20to%20the%20store.zip,4.7
