Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Cruel Angel World,Cruel Angel World,rottenangle,15,Master,Kaizo,2026-09-11,43073,https://www.smwcentral.net/?a=details&id=43073&p=section,https://dl.smwcentral.net/43073/Cruel%20Angel%20World%20V1.1.zip,0
UPSERT,Super Mario World: Legend of the Magical Dragons,Super Mario World: Legend of the Magical Dragons,Green Jerry,13,Casual,Standard,2026-09-11,43085,https://www.smwcentral.net/?a=details&id=43085&p=section,https://dl.smwcentral.net/43085/Super%20Mario%20World%20-%20Legend%20of%20the%20Magical%20Dragons%20Demo%20v0.2.zip,3.67
UPSERT,Adventure Land: Legend of the Stars,Adventure Land: Legend of the Stars,flareblade26,7,Casual,Standard,2013-08-27,5368,https://www.smwcentral.net/?a=details&id=5368&p=section,https://dl.smwcentral.net/5368/Adventure%20Land%20Demo%201.zip,3.33
UPSERT,Arcane Mario World,Arcane Mario World,Mithrillionaire,16,Expert,Kaizo,2021-06-21,27227,https://www.smwcentral.net/?a=details&id=27227&p=section,https://dl.smwcentral.net/27227/Arcane%20Mario%20World.zip,4.67
UPSERT,~ Sure Shot ~ featuring Sonic the Hedgehog DELUXE EDITION,~ Sure Shot ~ featuring Sonic the Hedgehog DELUXE EDITION,"YMM, margot",11,Advanced,Kaizo,2022-11-21,32587,https://www.smwcentral.net/?a=details&id=32587&p=section,https://dl.smwcentral.net/32587/Sure%20Shot.zip,4.95
UPSERT,Roke Shell,Roke Shell,magianegra21,14,Advanced,Kaizo,2024-02-21,36801,https://www.smwcentral.net/?a=details&id=36801&p=section,https://dl.smwcentral.net/36801/roke%20shell.zip,4.73
UPSERT,This Is Why We Kaizo,This Is Why We Kaizo,Firstnamebutt,9,Casual,Kaizo,2026-05-26,42425,https://www.smwcentral.net/?a=details&id=42425&p=section,https://dl.smwcentral.net/42425/ThisIsWhyWeKaizo.zip,4.85
UPSERT,Starting with Kaizo 2,Starting with Kaizo 2,Saphros,10,Intermediate,Kaizo,2026-06-06,42496,https://www.smwcentral.net/?a=details&id=42496&p=section,https://dl.smwcentral.net/42496/Starting%20with%20Kaizo%202%20-%201.0.1.zip,4.8
UPSERT,Aperitif,Aperitif,bald_ridge,13,Intermediate,Kaizo,2026-06-19,42560,https://www.smwcentral.net/?a=details&id=42560&p=section,https://dl.smwcentral.net/42560/Aperitif1.1.zip,4.71
UPSERT,Smoked Fish and Cabbage,Smoked Fish and Cabbage,xMANGRAVYx,7,Intermediate,"Standard, Kaizo",2026-07-09,42654,https://www.smwcentral.net/?a=details&id=42654&p=section,https://dl.smwcentral.net/42654/Smoked%20Fish%20and%20Cabbage%20v2.1.zip,4.56
DELETE,YNT MARIO,YNT MARIO,"YNT, astm",113,Expert,Standard,2026-06-28,42427,https://www.smwcentral.net/?a=details&id=42427&p=section,https://dl.smwcentral.net/42427/ynt_mario_en_v1.0.6.zip,4.67
