Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Lost in Puzzle Land,Lost in Puzzle Land,S.R.H.,9,Casual,Standard,2014-02-24,6310,https://www.smwcentral.net/?a=details&id=6310&p=section,https://dl.smwcentral.net/6310/PW2.4.zip,3.87
UPSERT,Super Mario Logic,Super Mario Logic,Final Theory,94,Casual,"Standard, Puzzle",2018-01-21,17005,https://www.smwcentral.net/?a=details&id=17005&p=section,https://dl.smwcentral.net/17005/Super%20Mario%20Logic.zip,4.12
UPSERT,PATHMAKER,PATHMAKER,Tob,5,Intermediate,Puzzle,2026-03-12,41839,https://www.smwcentral.net/?a=details&id=41839&p=section,https://dl.smwcentral.net/41839/PATHMAKERv1.1.zip,4
