Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Mount Pentimento,Mount Pentimento,GbreezeSunset,117,Advanced,Standard,2026-09-01,43071,https://www.smwcentral.net/?a=details&id=43071&p=section,https://dl.smwcentral.net/43071/Mount%20Pentimento%20%28V1.1%29.zip,5
UPSERT,Christmas Hack 2,Christmas Hack 2,Golden Yoshi,6,Advanced,Standard,2026-09-02,43106,https://www.smwcentral.net/?a=details&id=43106&p=section,https://dl.smwcentral.net/43106/Christmas%20Hack%202.zip,5
UPSERT,Toad's World 2,Toad's World 2,Ice Man,65,Advanced,Standard,2026-08-09,42727,https://www.smwcentral.net/?a=details&id=42727&p=section,https://dl.smwcentral.net/42727/Toad%27s%20World%202%20v1.3.zip,4.67
UPSERT,Super Wario World: Master Chuck's Revenge,Super Wario World: Master Chuck's Revenge,Green Jerry,58,Intermediate,Standard,2026-08-28,42891,https://www.smwcentral.net/?a=details&id=42891&p=section,https://dl.smwcentral.net/42891/Super%20Wario%20World%20-%20Master%20Chuck%27s%20Revenge%20v1.1.zip,5
UPSERT,Super Mario World: Vanilla Peak,Super Mario World: Vanilla Peak,Tob,6,Casual,Standard,2026-09-01,42895,https://www.smwcentral.net/?a=details&id=42895&p=section,https://dl.smwcentral.net/42895/smwvp.zip,3
