Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,Toad's World 2,Toad's World 2,Ice Man,65,Advanced,Standard,2026-08-09,42727,https://www.smwcentral.net/?a=details&id=42727&p=section,https://dl.smwcentral.net/42727/Toad%27s%20World%202%20v1.3.zip,4.33
UPSERT,#0 IGGY'S CASTLE,#0 IGGY'S CASTLE,Wakana,25,Intermediate,Standard,2025-12-30,41349,https://www.smwcentral.net/?a=details&id=41349&p=section,https://dl.smwcentral.net/41349/%230%20IGGY%27S%20CASTLE%20v3.0.0.zip,4.73
DELETE,Toad's World 2,Toad's World 2,Ice Man,65,Intermediate,Standard,2025-03-09,39167,https://www.smwcentral.net/?a=details&id=39167&p=section,https://dl.smwcentral.net/39167/Toad%27s%20World%202%20v1.2%20%28Normal%20%2B%20Hard%20Mode%29.zip,5
