Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,R-ACK,R-ACK,"Daizo Dee Von, Team JANK",50,Advanced,Standard,2021-05-19,27001,https://www.smwcentral.net/?a=details&id=27001&p=section,https://dl.smwcentral.net/27001/R-ACK.zip,4.5
UPSERT,Action42,Action42,Nicoke42,10,Advanced,Kaizo,2022-07-03,31179,https://www.smwcentral.net/?a=details&id=31179&p=section,https://dl.smwcentral.net/31179/Action42.zip,4.83
UPSERT,Kaizo Breeze,Kaizo Breeze,"BielDusty, naBerada",12,Casual,Kaizo,2026-07-20,42670,https://www.smwcentral.net/?a=details&id=42670&p=section,https://dl.smwcentral.net/42670/KaizoBreezev1.1.zip,4.8
